1	1	1	PUNCT	u--------	_	0	AuxG	_	t_1
2	.	.	PUNCT	u--------	_	1	AuxK	_	t_2

1	Χρὴ	χρή	NOUN	n-s---fn-	Case=Nom|Gender=Fem|Number=Sing	9	PNOM	_	t_3
2	γινώσκειν	γιγνώσκω	VERB	v--pna---	Mood=Inf|Tense=Pres|Voice=Act	9	SBJ	_	t_4
3	ὅτι	ὅτι	SCONJ	c--------	_	2	AuxC	_	t_5
4	πάσης	πᾶς	ADJ	a-s---fg-	Case=Gen|Gender=Fem|Number=Sing	6	ATR	_	t_6
5	τῆς	ὁ	DET	l-s---fg-	Case=Gen|Gender=Fem|Number=Sing	6	ATR	_	t_7
6	γῆς	γῆ	NOUN	n-s---fg-	Case=Gen|Gender=Fem|Number=Sing	8	ATR	_	t_8
7	ὁ	ὁ	DET	l-s---mn-	Case=Nom|Gender=Masc|Number=Sing	8	ATR	_	t_9
8	περίμετρος	περίμετρος	NOUN	n-s---mn-	Case=Nom|Gender=Masc|Number=Sing	9	SBJ	_	t_10
9	[0]	[0]	X	---------	_	0	PRED	_	e_1
10	.	.	PUNCT	u--------	_	9	AuxK	_	t_11

1	στάδιά	στάδιον	NOUN	n-p---na-	Case=Nom|Gender=Neut|Number=Plur	4	SBJ	_	t_12
2	ἐστι	εἰμί	VERB	v3spia---	Mood=Ind|Number=Sing|Person=3|Tense=Pres|Voice=Act	0	PRED	_	t_13
3	δισχίλια	δισχίλιοι	ADJ	a-p---nn-	Case=Nom|Gender=Neut|Number=Plur	4	ATR	_	t_14
4	καὶ	καί	SCONJ	c--------	_	2	COORD	_	t_15
5	μυριάδες	μυριάς	NOUN	n-p---fn-	Case=Nom|Gender=Fem|Number=Plur	4	SBJ	_	t_16
6	εἴκοσι	εἴκοσι	NUM	m--------	_	5	ATR	_	t_17
7	πέντε	πέντε	NUM	m--------	_	5	ATR	_	t_18
8	·	·	PUNCT	u--------	_	2	AuxK	_	t_19

1	μῆκος	μῆκος	NOUN	n-s---nn-	Case=Nom|Gender=Neut|Number=Sing	16	SBJ	_	t_20
2	δὲ	δέ	ADV	d--------	_	16	AuxY	_	t_21
3	τῆς	ὁ	DET	l-s---fg-	Case=Gen|Gender=Fem|Number=Sing	1	ATR	_	t_22
4	ἡμετέρας	ἡμέτερος	ADJ	a-s---fg-	Case=Gen|Gender=Fem|Number=Sing	1	ATR	_	t_23
5	οἰκουμένης	οἰκουμένη	VERB	v-sppefg-	Case=Gen|Gender=Fem|Mood=Part|Number=Sing|Tense=Pres|Voice=MedPass	1	ATR	_	t_24
